#{"t_start": 1718579105.6885319, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-1717.422021,1201,3.328964,0,1
-1715.571623,1201,7.857691,0,1
-1817.332287,1201,11.137097,0,1
-1656.052676,1201,15.560185,0,1
-1610.017756,1201,18.901307,0,1
-1610.405037,1201,23.247496,0,1
-1426.503545,1201,27.587721,0,1
-1210.401414,1201,30.81317,0,1
-1603.421914,1201,35.35588,0,1
-823.469407,1201,39.321641,2,1
-678.275361,1201,44.519739,4,1
-888.95107,1201,49.458841,3,1
-68.592668,1201,52.967308,10,1
-56.557185,1201,57.763976,10,1
-57.307323,1201,61.201008,11,1
210.235933,2321,72.495705,23,1
237.167425,1201,77.111443,19,1
312.124466,1201,81.878482,18,1
430.588562,1201,85.714858,23,1
408.764152,1201,90.112166,22,1
434.048699,1201,93.569762,24,2
430.810804,1201,98.663917,24,1
465.502214,1201,103.733646,25,1
400.176043,1201,107.472013,25,1
453.279346,1201,112.578634,26,1
466.241163,1201,116.197556,26,1
455.313847,1201,121.090896,27,1
471.636712,1201,124.730375,25,1
344.123352,1201,129.771825,23,1
455.133913,1201,134.851842,27,1
477.730692,1201,138.505792,28,1
460.811911,1201,143.410813,29,1
479.008145,1201,146.965768,30,1
475.614257,1201,151.810786,29,1
487.058268,1201,156.647195,28,1
485.389623,1201,160.23078,28,1
412.804146,1201,164.979327,26,1
462.987564,1201,168.230727,27,1
8546.522547,19879,778.505196,463,4
12490.695339,28830,2028.469828,919,12
11992.872052,23089,2849.876068,1000,8
6728.838166,12581,3105.348482,597,1
4668.725599,8619,3229.719193,474,1
4880.178606,8868,3360.367842,510,3
5592.127006,12206,3600.475984,712,4
8597.017739,15064,3956.036052,1000,15
7989.121984,14024,4251.185176,1000,8
5283.900786,9288,4381.997702,713,6
7360.801332,12888,4634.244785,979,19
6070.441763,10147,4792.272388,815,21
4935.824033,8197,4896.665009,684,16
4189.71811,7089,4976.273063,610,15
4087.966494,7091,5057.709414,606,9
2696.064198,4668,5094.291273,428,5
2914.071277,5110,5138.141841,475,6
5242.430839,8895,5257.808992,773,17
4306.993782,7241,5340.033425,650,20
5755.357303,9752,5484.12695,867,14
4071.801277,6703,5554.79538,603,15
3184.233758,5491,5603.000196,531,3
2274.712931,5669,5655.214956,448,12
4927.919877,8834,5773.679345,697,32
2939.081742,4978,5814.354866,495,9
3306.006823,5608,5864.692862,530,11
4220.201714,7129,5943.071651,680,14
1733.695868,4991,5982.759664,364,8
3437.302525,5825,6036.31466,561,9
3537.553993,6054,6095.64951,576,8
3529.021446,5958,6155.723725,569,12
3254.384076,5611,6207.949134,545,6
3352.717122,5704,6261.713431,560,3
2667.380446,4556,6296.029916,455,6
2071.729902,3478,6317.460916,351,9
3305.757359,5627,6368.657592,543,5
3336.68324,5540,6417.818071,531,9
3273.380461,5536,6467.365657,521,10
3708.626702,6255,6528.678527,597,13
3068.41406,5117,6570.282613,498,13
3570.998404,6018,6627.355247,572,9
3380.859948,5517,6676.22913,534,9
2894.682566,4918,6715.001519,474,7
4654.159419,7592,6803.835392,731,16
3133.855097,5190,6847.666119,510,12
4355.738817,7248,6928.482055,679,17
5725.362522,9382,7061.726324,869,23
4148.70357,6859,7134.788237,662,15
6783.312951,10905,7314.015564,1000,33
3646.085046,6145,7373.375817,599,11
3818.359527,6279,7435.24549,595,14
4025.783654,6736,7506.828007,649,11
3451.571989,5788,7560.21632,559,6
5938.969048,9516,7704.090299,887,28
2776.423218,4998,7745.613851,471,5
3850.497939,6406,7810.547216,595,18
4063.590755,6577,7877.052537,600,17
3540.125315,5666,7927.991341,538,15
3943.007263,6645,7995.811368,626,12
3286.425922,5486,8043.913386,549,10
2860.553376,4786,8080.639386,454,10
3202.12331,5434,8127.855401,526,11
2968.13088,5076,8168.604572,495,6
2976.881998,7692,8258.830594,648,12
6320.067845,10098,8410.290312,919,32
4149.380434,6986,8484.747174,659,16
2983.507403,4985,8525.069975,484,9
5007.67849,8242,8627.346604,763,22
3333.18935,5646,8676.915604,567,10
2743.881547,6848,8749.326617,574,13
2720.803929,4596,8783.155851,483,8
2283.30906,3864,8808.112851,407,7
2773.598974,4532,8841.101851,470,10
2283.821831,3905,8866.572851,412,4
3166.386191,5219,8910.061852,546,12
2113.019829,3540,8930.752851,382,5
2657.02551,4335,8961.249852,470,7
2680.432169,4498,8994.768851,488,5
3737.598348,5972,9050.189366,642,17
1518.814594,5642,9099.133369,488,5
2917.064895,4772,9136.284367,515,10
2723.965221,4576,9169.890518,486,6
4917.153637,7575,9256.706518,774,23
3271.895218,5441,9302.584517,584,10
2660.975082,4408,9333.857036,471,8
2331.584688,3902,9359.205549,437,7
3084.89935,4878,9397.758562,523,14
3563.360854,5654,9446.801558,603,15
2983.435793,4696,9482.879559,505,10
2409.172907,4090,9510.505558,438,6
2424.600339,4007,9537.089559,450,7
1239.481697,5464,9583.284559,483,10
3023.232471,4959,9622.866563,535,12
2974.017487,4567,9656.289563,481,9
3574.097279,5795,9708.756562,626,14
3224.393842,5118,9749.663564,524,12
4311.592943,5421,9796.073564,548,10
3157.865877,5158,9838.541565,555,12
2417.410794,3987,9863.984516,418,6
2903.922189,4824,9901.778516,513,6
6023.571941,9670,10040.065524,955,28
3918.546243,6439,10103.586533,642,13
3506.672926,5726,10153.971533,578,15
2812.688201,4618,10189.240833,481,12
2853.812355,4881,10226.953827,502,9
2179.929861,3734,10250.509825,403,3
1274.775943,3986,10276.875825,298,6
2584.934094,4301,10307.015833,469,7
2708.565038,4402,10338.403843,468,9
3849.47745,6409,10401.221841,671,14
1862.556192,2982,10417.444842,299,5
2662.355351,4301,10447.505842,475,10
3240.292709,5124,10488.701843,559,10
2803.724669,3943,10514.966841,411,13
2326.773748,3886,10540.20484,434,7
2791.038359,4561,10573.552845,514,9
2989.31473,4674,10609.360841,527,16
2760.954902,4418,10640.942843,489,11
3023.821764,4955,10679.660843,541,9
4386.73615,7084,10756.352841,743,19
2292.016634,3859,10781.358841,420,7
3167.623627,5239,10824.17384,558,11
19524.903616,6104,10881.688842,548,7
2144.078629,4936,10921.024368,432,12
2807.914068,4641,10955.403368,494,11
2881.232516,4793,10991.830369,509,9
2269.172894,3755,11015.593368,418,7
2885.891429,4671,11050.444368,509,13
2749.316864,4494,11083.088368,491,8
1953.164501,3308,11102.385368,368,5
2370.375168,3865,11127.443368,427,4
3435.140731,5412,11173.78536,589,11
3320.964651,5336,11218.052874,574,13
2908.913349,4656,11252.679875,508,12
3371.43993,5398,11298.798874,589,10
2092.218688,3443,11319.386874,371,3
2684.36062,4394,11350.623878,482,11
2969.446423,4917,11388.862875,544,8
2087.427188,3555,11410.766875,375,8
2003.438512,3482,11431.836875,358,7
1890.337711,3220,11449.263874,368,5
3217.094191,5241,11492.985875,567,12
3090.493536,5088,11533.570391,547,10
3405.723481,5573,11582.416005,606,10
3577.34777,5697,11633.312005,592,15
2919.051628,4845,11670.502517,545,5
2975.162296,4758,11707.586518,518,12
4315.736496,6449,11771.194518,694,24
1954.851235,3298,11789.372518,360,4
2481.932903,4084,11816.928526,460,8
3845.665034,5830,11869.813526,590,22
3892.74777,6347,11931.668526,673,14
2837.109754,4743,11968.273526,533,7
2345.852563,3754,11991.132526,413,3
