#{"t_start": 1709181359.2289913, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
126.8,920,1.044999,1
-32.7,369,1.727001,2
-22.9,306,2.360999,11
-73.3,111,2.879001,1
11.9,499,4.679999,14
187.6,937,5.707001,64
74.6,591,6.513998,35
-15.1,274,7.131999,24
513.7,1683,9.596999,158
-60.2,117,10.132998,5
328.2,1057,12.28,168
-60.6,78,12.771999,7
2.6,185,13.336001,26
-66.4,61,13.824001,2
-67.6,55,14.311998,3
33.6,273,14.926998,62
-70.1,56,15.415999,2
-64.8,58,15.895998,2
-65.2,74,16.390998,6
-68.3,59,16.878998,2
8.7,200,17.449998,25
-65.4,63,17.943999,4
-63.5,65,18.439999,3
-60.2,66,18.932998,3
-66.3,61,20.420999,3
-22.6,166,20.995998,22
98.2,413,21.696998,45
21.1,210,22.275001,27
-67.7,63,22.757998,3
-72.2,58,23.244999,3
-64.0,71,23.744998,5
10.0,224,24.339,11
-38.5,136,24.883,14
-18.1,154,25.430999,18
62.0,312,26.065999,43
7.7,203,26.642999,18
-63.8,58,28.123999,2
11.8,211,28.732999,37
107.3,400,29.424998,80
20.4,219,30.011998,8
-65.7,70,30.51,5
117.9,447,31.237998,28
-70.9,53,31.724999,2
-70.5,78,32.227998,5
416.6,1135,34.351998,219
31.7,268,34.966999,7
-25.0,175,35.527998,14
64.3,344,36.195001,56
10.3,240,36.803999,21
55.6,299,37.433998,54
-63.6,66,37.927999,3
-45.6,98,39.441999,8
-8.4,177,40.017999,21
52.3,332,40.671999,10
-49.3,97,41.199999,9
-64.4,82,41.708998,8
77.8,383,42.399998,92
74.9,312,43.047998,12
284.2,773,44.998999,139
-69.7,64,45.524999,4
-15.1,170,46.092999,10
267.1,663,46.948999,119
-64.1,64,47.437999,4
-64.7,70,47.944998,4
47.2,291,48.573998,20
76.6,301,49.204999,42
77.7,370,50.903999,39
138.4,481,51.682998,53
86.0,403,52.379999,40
387.0,1175,54.527,106
-70.7,71,55.054028,3
90.3,411,55.753,85
149.3,610,56.558,101
-55.5,114,57.080999,12
-2.1,232,57.676999,21
120.4,486,58.424999,66
224.7,684,60.305001,83
-28.2,201,60.879999,19
127.2,506,61.643001,72
39.1,371,62.336998,49
173.8,586,64.12007,89
256.1,767,65.040071,87
171.4,486,65.78507,70
246.2,680,67.686073,109
142.2,463,68.43707,97
-59.0,84,68.95007,7
146.3,422,69.666071,86
-11.3,176,70.22507,31
143.0,393,70.919072,98
22.8,277,71.55207,41
83.7,357,73.25907,43
202.2,510,74.01807,135
290.6,594,74.830071,159
365.0,755,76.740071,212
113.9,380,77.437099,96
357.9,695,78.311072,184
-58.4,60,78.79307,3
408.4,705,79.66507,207
522.2,873,81.631073,244
485.2,827,82.58907,241
327.1,666,84.466072,161
167.1,401,85.18007,86
515.8,852,86.135073,259
387.6,699,87.99607,196
350.4,735,88.92007,173
413.5,633,89.747071,179
427.3,684,91.59107,198
514.6,837,92.568071,223
377.1,661,93.417069,200
406.8,668,95.26007,181
-11.3,125,95.806073,14
301.8,544,96.588071,151
445.4,698,97.448072,203
-50.5,92,97.96307,7
492.8,705,99.881072,207
308.9,574,100.68507,149
272.9,493,101.44407,134
401.2,647,103.25607,185
394.9,687,104.14007,178
315.6,577,104.94607,167
429.8,758,106.87607,208
395.4,630,107.74207,185
522.6,760,108.66207,224
279.1,501,109.425071,146
670.8,954,111.473071,269
535.4,828,112.44807,235
373.3,625,114.274071,178
578.2,837,115.24507,231
593.8,897,116.25307,263
463.6,782,118.204071,199
447.8,698,119.09107,210
287.4,469,119.83907,133
424.5,630,121.69707,179
353.2,591,122.520071,174
563.2,825,123.48307,226
470.1,712,125.37007,194
339.4,596,126.18107,157
398.9,634,127.03207,175
565.5,825,129.00107,264
305.7,529,129.78107,151
66.5,279,130.41007,51
363.5,568,131.223073,173
408.1,617,133.09607,175
368.7,615,133.918073,172
455.9,646,134.76007,202
-37.3,103,135.284073,8
635.8,890,137.29007,290
589.8,828,138.23307,271
743.6,941,140.268071,312
445.0,627,141.106072,202
245.7,455,141.85307,126
385.5,591,143.64007,177
596.7,818,144.61207,240
225.4,381,145.30407,105
315.3,566,146.10907,154
534.0,753,148.02207,227
431.0,667,148.87707,205
334.5,575,150.50207,149
615.4,852,152.489071,252
414.5,687,153.353071,205
396.0,655,154.18807,178
531.1,836,156.14207,239
575.1,833,157.09507,229
739.0,990,159.15307,299
382.0,562,159.937073,172
645.7,823,160.875072,266
500.8,784,162.813072,226
437.2,719,163.69607,213
383.6,614,164.51907,194
480.9,719,166.40007,220
485.0,670,167.246072,206
455.7,669,168.09407,190
351.9,671,170.014072,181
704.5,1008,171.06707,293
744.1,988,173.11007,288
510.3,801,174.043072,231
720.1,1017,176.107071,288
542.7,798,177.04707,238
581.6,826,177.99607,241
631.4,809,179.940071,273
696.8,905,180.93507,268
555.7,869,182.91107,231
607.9,818,183.84707,268
632.1,880,184.82407,268
573.4,810,186.766071,239
537.9,907,187.76407,244
520.1,735,189.62707,232
569.6,967,190.65407,276
533.8,822,192.585071,243
471.9,724,193.500072,231
557.5,731,194.388071,226
475.7,772,196.29607,209
487.2,819,197.23907,248
731.5,936,199.23107,287
634.5,886,200.24307,276
611.4,825,201.188072,268
710.6,1092,203.32207,319
488.6,714,204.20307,223
731.6,1037,206.29507,319
477.2,768,207.20407,232
623.0,872,209.162075,259
551.7,917,210.173071,234
537.4,760,211.086073,224
400.5,594,212.889071,187
544.8,777,213.80807,235
746.9,1207,215.97007,341
939.7,1325,217.22607,382
766.8,1159,219.388072,336
872.3,1188,220.55007,325
833.5,1075,222.69507,317
769.2,1072,223.79507,301
327.5,556,225.572073,151
515.6,762,226.474071,223
381.7,601,227.28207,179
614.4,807,229.258071,248
462.8,622,230.084073,193
669.2,1035,232.169073,314
632.5,985,233.215073,286
525.9,843,234.175072,238
811.0,1118,236.26607,319
656.5,918,237.26607,274
510.0,747,239.19007,223
617.1,925,240.206074,259
532.7,749,242.164073,218
659.9,882,243.16107,292
807.4,1061,245.27007,317
887.6,1198,246.444071,328
685.9,990,248.48707,298
720.6,967,249.51707,300
909.2,1412,251.868073,398
508.1,763,252.77407,226
609.2,876,254.754071,258
553.5,769,255.669072,222
411.0,628,256.49707,182
532.9,709,258.38507,212
455.9,676,259.24007,198
759.8,986,260.28907,301
826.1,1091,262.40407,319
687.4,996,264.42507,279
745.6,987,265.491072,299
771.6,1249,267.74907,347
532.2,735,268.65707,221
893.5,1256,270.876073,285
865.2,1112,272.009069,327
1030.1,1454,274.347071,414
287.3,455,275.082072,125
799.9,1119,277.197072,283
608.0,873,278.180073,255
726.3,994,279.23607,297
688.7,910,281.246071,281
756.8,1081,282.34207,300
844.0,1118,284.46607,357
674.4,908,285.46307,267
956.3,1477,287.78807,370
566.7,785,289.71007,248
924.0,1150,290.87207,334
897.8,1255,293.06707,349
861.4,1078,294.15707,355
1291.0,1816,296.734072,347
803.7,1092,298.83007,315
830.5,1245,300.01907,359
970.2,1327,302.329132,370
539.2,718,303.224131,227
854.4,1081,305.36213,346
745.8,980,306.40013,314
642.6,983,308.433132,287
835.4,1192,309.596133,338
788.4,1090,311.704132,324
293.4,479,312.44713,130
783.9,1083,314.564131,332
-5.0,140,315.103132,15
977.8,1343,316.35213,379
159.0,352,318.01613,39
511.3,692,318.905131,208
843.8,1198,320.07713,324
-54.2,60,321.529138,2
712.7,994,322.614132,277
488.6,762,323.518131,228
856.0,1202,325.71313,340
891.7,1335,327.992132,372
971.4,1254,329.21013,375
1078.1,1497,331.55513,352
703.1,980,332.60013,298
990.6,1245,334.81113,401
1024.5,1372,337.129131,399
1003.7,1327,338.373132,392
1087.0,1483,340.74213,382
796.3,1061,342.866131,329
1020.8,1572,344.289132,342
883.8,1225,346.525131,345
915.5,1285,348.757132,384
967.9,1344,350.046133,385
846.4,1170,352.18313,346
266.2,483,352.92813,110
944.9,1218,355.13413,389
1140.7,1441,356.452132,447
924.0,1298,358.72713,365
929.9,1392,361.021132,330
1170.5,1555,362.40413,464
1049.8,1559,364.754133,412
1067.3,1434,367.08513,397
694.8,961,368.10613,287
785.3,1032,370.18113,325
704.7,911,371.176131,288
1121.7,1409,373.520132,443
1205.5,1616,375.91813,437
771.6,1049,376.991133,328
1081.5,1442,379.31313,446
1217.7,1631,381.745131,462
801.0,1089,382.84813,336
916.1,1352,385.15413,387
1093.1,1682,387.66013,396
796.0,1095,388.774131,328
751.6,984,390.86413,326
1023.9,1315,392.09713,407
984.9,1316,394.33913,400
1100.5,1381,396.66813,404
1330.8,1805,399.200132,492
1028.0,1367,400.47013,420
1147.2,1434,402.81613,442
756.1,1032,404.874134,335
912.6,1254,406.10313,352
1045.0,1492,408.473131,427
958.8,1216,409.660133,393
257.6,399,411.391133,105
1060.7,1471,412.73013,378
664.5,998,414.783133,291
1223.5,1653,417.21713,488
1024.3,1436,418.527132,426
914.6,1246,420.73113,390
962.5,1437,423.045132,373
893.2,1254,424.24513,379
284.7,464,425.93513,122
1124.6,1481,427.298131,394
1154.5,1486,429.656196,429
971.4,1220,431.862198,354
991.5,1300,433.111196,359
591.1,766,435.034196,255
814.0,1028,436.122246,328
741.8,1008,438.172246,318
1021.1,1434,439.491245,370
703.1,895,441.497246,286
844.0,1069,442.596243,317
925.5,1232,444.817244,351
961.2,1243,446.014246,390
810.0,1144,448.149246,344
879.1,1154,450.278244,362
902.5,1391,451.574244,371
997.9,1339,453.837246,414
1220.0,1487,456.162244,437
785.9,1071,457.269246,327
945.6,1361,459.549244,385
852.1,1081,460.644243,344
1089.8,1424,462.927244,392
1142.3,1504,465.305243,456
665.1,883,466.283246,279
833.4,1102,468.427243,338
381.4,547,469.208246,159
1227.1,1721,471.718245,437
-53.8,58,472.204246,2
-47.4,62,472.697243,3
1152.0,1462,475.029245,432
424.0,626,475.865244,183
288.7,454,476.594244,128
236.4,396,477.279243,92
1307.9,1658,479.716243,450
863.3,1171,481.885245,368
1060.8,1387,483.163245,396
1052.2,1401,485.472243,394
416.1,576,486.272243,172
764.5,1033,488.355245,326
880.8,1150,489.497245,347
1306.8,1770,492.006243,459
1092.2,1399,494.276243,443
623.9,813,495.217246,269
808.2,1133,497.380246,301
967.1,1241,499.540243,386
809.6,1006,500.619246,324
946.5,1251,502.821244,397
1315.5,1756,504.321305,417
725.2,924,506.335306,284
557.4,743,507.234306,226
471.6,625,509.058306,197
824.2,1210,510.245307,313
1163.2,1533,512.640307,430
601.6,838,513.592306,272
506.8,742,515.47037,218
777.2,1049,516.549368,309
1020.3,1353,518.795427,412
445.7,622,519.618428,198
1374.5,1942,522.247428,518
1315.4,1832,524.786427,559
1126.5,1606,527.235492,454
1400.7,1873,529.82649,542
781.3,980,530.870492,293
1344.4,1718,533.343553,505
487.9,676,534.211551,211
520.7,704,536.083551,222
350.2,554,536.868551,165
977.4,1205,539.042553,368
792.3,1085,540.167552,316
714.9,945,542.170551,262
832.4,1063,543.291551,331
883.3,1278,545.541551,376
1473.9,1959,548.202553,560
1129.7,1521,549.559551,447
1340.8,1794,552.090551,510
602.7,761,554.023551,248
1519.6,2127,556.750551,566
1582.7,2197,559.550551,610
1135.4,1512,561.906552,469
941.1,1217,563.100552,380
1176.5,1536,565.501554,445
1038.3,1388,567.773551,383
423.9,602,568.632553,184
833.4,1161,569.775552,336
558.7,711,571.693554,229
892.4,1127,572.824551,353
307.1,474,574.532551,132
196.3,345,575.206552,90
1171.2,1543,576.581554,446
344.6,553,578.392551,152
162.0,318,579.041551,80
393.4,602,579.851551,174
1101.1,1386,582.110551,436
477.3,669,582.966553,198
769.5,1155,585.147551,312
1152.1,1580,587.511552,421
883.5,1174,588.687551,354
803.9,1081,590.820552,323
1280.0,1668,592.291551,514
761.4,1005,594.358551,308
1114.6,1353,596.636551,454
1082.2,1485,597.998551,451
422.4,607,599.811551,180
1093.7,1428,601.131551,455
733.0,982,603.207551,322
1154.2,1481,604.553552,460
735.3,1018,606.629551,311
1093.1,1393,608.916551,440
1465.1,1987,611.558554,516
1289.8,1782,614.104553,472
993.7,1353,615.405551,402
345.1,519,616.159599,144
1448.4,1914,618.77968,514
1252.3,1649,621.230744,456
692.5,864,623.197745,291
1061.3,1463,624.546744,421
1291.9,1922,627.200744,478
347.7,535,627.971748,154
188.9,353,629.646746,96
964.1,1205,630.825744,358
830.7,1136,632.973744,347
300.6,452,633.705745,134
895.5,1182,635.867744,375
1018.0,1405,637.176752,401
1140.5,1475,639.503744,452
1281.5,1670,641.950746,467
923.0,1158,643.097746,371
1206.0,1522,645.471744,472
866.1,1183,647.643745,356
1127.6,1531,649.011744,446
1296.5,1779,651.552746,459
310.0,466,653.297745,124
702.7,868,654.293744,272
1080.6,1516,656.612744,457
713.3,924,657.620747,305
973.5,1225,659.826744,387
1036.0,1425,661.135745,420
974.9,1253,663.390745,395
939.7,1218,665.574745,381
1086.0,1361,666.858744,428
938.2,1191,669.021745,385
925.4,1184,671.185744,384
1045.0,1328,672.455744,419
848.3,1128,674.596744,327
1018.3,1431,675.907744,391
838.0,1105,678.082744,336
368.0,555,678.870744,162
534.6,750,680.825747,225
623.6,843,681.805746,254
1051.1,1439,684.136747,423
691.6,923,685.146744,294
888.5,1197,687.343744,366
1148.7,1680,689.790745,461
1017.0,1512,691.160744,422
1324.2,1918,693.745744,473
1220.2,1609,696.137744,473
610.7,782,697.069744,247
1339.5,1715,699.604747,552
1064.6,1397,701.884745,426
853.9,1196,703.056746,352
212.9,382,704.763745,88
1206.7,1580,706.168746,455
1516.0,1844,708.755746,543
1416.6,1836,711.335747,476
785.2,977,714.217744,308
1514.3,2149,716.934744,590
1454.3,2000,719.569744,552
920.9,1170,720.724744,391
1010.8,1302,722.984744,379
583.7,813,723.930747,256
823.7,1037,726.024744,329
742.4,1049,727.104744,310
973.6,1280,729.318744,409
1038.1,1456,731.659745,463
742.9,1032,732.730744,293
712.7,967,734.799747,307
768.5,1074,735.893744,307
1144.9,1522,738.241744,444
868.9,1137,740.336748,345
882.3,1085,741.464744,351
1018.9,1504,743.794745,449
597.9,830,744.746745,267
459.1,646,745.591747,195
795.6,1026,747.686744,324
820.6,1088,749.725744,341
1256.5,1845,751.302745,498
1036.1,1287,753.557744,402
1094.2,1444,755.910744,452
918.1,1233,757.104744,379
308.6,472,758.872744,135
791.2,1044,759.965744,312
1120.2,1502,762.374745,443
869.2,1109,763.500746,351
1167.3,1691,765.962821,506
1076.4,1559,768.357818,436
1194.6,1713,770.830818,500
1060.4,1457,773.137818,421
1202.4,1665,774.610818,457
1021.8,1360,776.884819,433
931.7,1252,779.099818,386
1386.6,1896,781.678821,522
868.6,1099,782.81682,348
517.8,743,783.71682,227
1165.8,1517,786.073818,442
833.9,1092,788.207818,362
1027.4,1246,789.41182,409
1229.8,1561,791.79882,460
744.5,1018,793.841821,329
992.1,1291,795.079869,402
714.4,928,797.094868,293
1293.6,1723,798.57787,498
1358.8,1842,801.128868,498
1070.3,1393,803.446924,412
927.6,1164,805.635924,374
779.7,1114,806.761924,311
1043.5,1409,809.108987,434
763.2,979,810.146038,307
944.5,1339,812.414038,390
945.6,1290,814.653038,375
880.7,1110,815.786038,333
786.8,1077,817.876038,346
1118.8,1493,819.237038,424
1195.6,1577,821.672038,478
1481.3,2112,824.44104,510
1754.9,2471,827.409038,608
619.9,879,829.450038,273
1493.5,1937,832.098038,560
1584.3,2161,834.88004,577
1190.3,1531,837.302041,428
1887.8,2647,840.347041,654
276.0,455,841.075038,122
690.7,964,843.129038,301
978.7,1251,844.352039,386
784.2,1113,846.477039,327
1018.9,1278,847.726038,402
772.2,1040,849.892039,334
908.3,1243,851.108038,398
869.6,1197,853.263038,385
771.7,991,855.339039,301
103.6,267,855.970038,58
1537.5,2134,858.749038,582
966.6,1246,859.96004,376
560.6,803,861.907042,243
1168.4,1608,864.324037,464
768.0,1095,865.462038,353
218.8,394,866.164038,107
735.9,968,868.178042,321
358.7,516,868.940038,147
1074.6,1393,871.249038,423
881.0,1268,872.467041,401
1666.7,2415,875.37904,539
1841.4,2484,879.388038,565
288.2,442,880.10904,120
1309.1,1755,882.619038,520
820.9,1111,883.736038,354
1170.1,1597,886.154038,479
633.9,840,887.112038,258
1015.7,1327,889.39704,426
1858.8,2722,892.486039,637
1322.4,1897,895.103038,533
1047.0,1385,897.402038,427
1843.0,2651,900.443109,648
1679.3,2201,903.207109,627
1575.8,1908,905.833154,567
710.7,928,907.845154,289
168.4,346,908.511152,79
720.8,1041,909.597153,340
445.5,640,911.457155,189
296.6,479,912.203153,141
726.9,986,914.252152,310
834.9,1113,915.394155,350
803.9,1082,917.508153,329
1063.7,1397,918.804152,430
1386.3,1841,921.381155,523
1338.6,1691,923.862152,523
703.9,1006,924.915152,312
1735.8,2146,928.693155,634
1075.9,1401,930.016152,414
888.5,1179,932.145153,378
1677.0,2417,935.091156,571
1038.5,1482,937.442153,425
839.8,1063,938.547152,327
825.8,1048,940.625152,335
672.6,897,941.621154,282
1126.2,1468,943.976152,445
1235.3,1564,946.385153,502
1325.3,1751,947.895152,526
848.3,1098,950.005152,357
1066.5,1395,952.307155,409
1277.7,1714,954.767153,496
1437.2,1907,956.386152,534
733.4,1056,958.465155,328
1492.3,2227,961.232155,597
1382.2,2142,963.968152,553
699.5,979,966.048202,289
1338.3,1928,968.713153,521
1087.1,1456,970.074152,441
681.0,940,972.114152,283
1514.1,2008,974.738152,605
1240.2,1576,976.147152,488
1003.8,1258,978.326154,401
774.4,1134,980.470155,350
1117.4,1440,981.801153,425
1459.4,1848,984.334152,579
1535.9,2069,987.036156,582
1450.1,2078,989.731153,550
898.8,1146,991.880152,373
1521.0,2239,994.729152,582
535.5,744,995.637155,219
1234.1,1626,998.092152,493
889.5,1195,1000.261153,375
1976.6,2701,1003.375152,643
1275.8,1777,1005.919152,488
1355.8,1832,1008.488152,533
1072.0,1464,1009.828153,480
611.8,898,1011.803153,274
657.1,952,1012.825153,280
350.0,566,1014.591152,140
721.7,1014,1015.660157,299
668.5,954,1017.679152,301
375.8,631,1018.532152,172
834.4,1213,1019.721152,358
943.8,1260,1021.936211,365
837.6,1265,1024.15321,374
567.6,756,1025.064211,236
1199.5,1636,1027.52621,500
851.5,1110,1028.65221,362
381.8,558,1030.481211,158
1068.5,1416,1031.79321,416
1574.2,2055,1034.499212,602
653.7,902,1036.50521,271
1230.9,1733,1039.024212,477
1083.1,1340,1040.29721,417
1206.7,1609,1042.742211,463
1054.9,1435,1045.10621,432
1016.1,1344,1046.364212,408
1056.2,1360,1048.64021,433
1823.7,2536,1051.60721,598
1283.8,1722,1054.12921,507
512.1,716,1056.019212,219
1526.9,2019,1058.680212,532
1089.2,1405,1060.00921,445
887.2,1171,1062.173211,358
891.3,1090,1063.286212,342
1197.4,1667,1065.74721,511
1138.6,1413,1068.091213,446
827.5,1085,1069.199212,341
967.3,1215,1071.414211,377
1903.3,2415,1074.35521,677
735.5,962,1076.44121,316
1272.0,1660,1077.901213,529
712.1,990,1079.97421,294
1134.8,1623,1082.42221,486
632.5,803,1083.36521,247
919.0,1196,1085.588212,391
1589.1,2012,1088.29321,590
1451.9,1966,1090.938213,553
853.7,1062,1092.02321,351
1322.2,1768,1094.57321,493
511.2,720,1095.47021,218
466.3,706,1097.37121,226
1880.0,3044,1100.65521,730
1128.7,1459,1103.043246,432
729.3,973,1104.096211,320
891.2,1222,1106.288212,362
1625.9,2291,1109.151212,639
1519.9,2125,1111.860213,599
2043.5,2849,1116.04421,751
1986.7,2879,1119.24121,736
99.0,273,1119.86321,65
2243.3,3029,1124.124213,750
2826.0,3998,1128.965213,930
1029.4,1285,1130.213212,405
324.0,522,1130.991213,150
795.3,1034,1133.077212,314
872.4,1172,1134.24921,371
2422.8,3298,1138.68821,820
948.7,1369,1140.958212,397
958.6,1265,1142.177213,392
1528.7,1997,1144.84821,573
2206.6,3033,1149.17121,764
2056.0,2748,1152.32621,684
1282.0,1645,1154.865211,488
1219.0,1542,1157.265211,463
809.8,1052,1158.348211,319
593.8,776,1160.298212,240
2183.0,3073,1163.621211,766
1982.1,2872,1167.74321,712
1202.0,1456,1169.08821,456
1709.0,2224,1171.89821,596
1504.7,1957,1174.569268,584
336.0,559,1176.323321,159
657.0,868,1177.32232,294
-52.1,74,1177.817322,3
1432.5,2013,1180.50132,597
2392.8,3186,1184.883437,843
1526.9,1999,1187.601521,566
2665.4,3595,1191.255567,778
1336.1,1893,1193.865567,542
2239.3,3239,1198.262565,848
271.7,429,1198.977567,129
956.7,1201,1201.161637,380
1122.0,1473,1202.535635,475
1925.5,2570,1206.536635,706
1162.3,1651,1208.017635,496
2180.9,3061,1212.336633,788
2434.7,3351,1215.804632,792
1135.8,1531,1218.133635,479
2231.0,3064,1222.434633,840
1111.7,1501,1223.799633,449
1898.6,2711,1227.904633,673
1953.9,2683,1230.980638,701
1972.9,2617,1234.012634,735
715.5,959,1236.069633,310
1875.5,2617,1239.087633,672
2172.2,2997,1243.382634,791
2111.1,2934,1246.656632,738
1160.5,1470,1248.985633,454
-53.8,70,1249.485633,3
-57.6,65,1249.978635,3
585.4,884,1250.959633,276
1749.0,2313,1253.834635,634
46.1,214,1254.423635,47
946.6,1203,1256.612635,387
2164.6,3191,1260.959707,814
1869.3,2785,1264.093699,755
1245.4,1660,1266.5807,521
2718.9,4123,1271.492702,841
2144.8,2899,1274.723748,668
897.6,1165,1276.905789,359
1786.4,2529,1279.914789,638
1814.3,2414,1282.843849,692
876.3,1139,1284.970908,361
1063.2,1357,1286.253908,422
529.3,734,1288.17691,223
1459.0,2068,1290.914908,602
412.5,577,1291.725908,179
2915.7,3904,1296.603963,875
2870.9,3941,1301.440963,898
1496.6,1819,1304.014966,556
1697.8,2338,1306.886965,625
2086.9,2813,1310.004962,707
1346.0,1804,1312.511965,533
1613.3,2208,1315.290964,571
493.6,688,1317.169963,205
2258.9,3006,1320.458963,778
1057.2,1377,1322.734963,429
1220.3,1812,1325.293966,539
1072.7,1377,1326.592963,453
2142.0,2984,1330.830964,749
1196.7,1506,1332.196963,448
1037.4,1387,1334.506963,416
1034.5,1352,1336.799963,439
1116.6,1416,1339.109014,460
1289.2,1832,1340.696013,520
1047.6,1390,1343.025017,430
1179.0,1685,1345.530103,500
1190.6,1601,1348.008106,483
940.4,1266,1349.231103,417
996.4,1283,1351.450104,414
1669.4,2236,1354.217227,582
1689.8,2216,1357.017227,674
2119.9,3089,1361.334286,809
1580.8,2110,1364.12429,584
1927.2,2607,1367.206287,704
1113.9,1569,1369.629287,493
2876.2,4303,1374.699289,879
1392.3,1924,1377.344288,562
1569.9,2092,1380.078287,639
741.2,1150,1381.238286,313
1186.6,1660,1383.723287,498
907.4,1226,1385.934286,385
1403.0,1981,1388.588287,541
1353.6,1965,1391.245288,559
1118.0,1621,1392.682286,449
1356.7,1776,1395.221286,522
1562.1,2214,1398.004286,632
1182.2,1718,1400.476287,489
689.2,971,1402.513287,309
1068.1,1398,1403.810289,436
1151.3,1645,1406.240286,486
907.3,1327,1408.495286,416
880.6,1184,1409.660286,356
667.3,942,1411.675286,290
1744.7,2411,1414.582289,598
1884.1,2485,1417.536286,660
189.7,341,1418.197286,84
1094.3,1460,1420.531286,427
1515.6,2159,1423.316287,634
2479.5,3453,1427.812287,831
241.8,454,1428.537286,121
776.1,1022,1430.605287,327
2434.4,3165,1434.005288,840
935.3,1270,1436.223286,388
1078.4,1388,1437.518286,433
1594.3,2167,1440.310286,656
1379.5,1719,1442.857286,525
1215.0,1649,1445.342286,493
1257.5,1725,1447.849287,514
1278.3,1711,1450.345286,485
823.7,1065,1451.458339,335
821.2,1174,1453.632338,357
1455.6,1752,1457.098339,523
857.7,1165,1458.268337,376
1771.4,2365,1461.19134,625
1041.3,1454,1463.504396,433
947.9,1285,1465.739473,416
259.3,455,1466.472474,130
1284.0,1728,1469.003472,544
1772.6,2437,1471.948475,663
874.6,1141,1474.128474,362
571.9,813,1475.086473,268
911.9,1213,1477.268472,385
523.4,743,1478.181472,206
1495.7,2142,1480.919474,561
